Pair.Name	Ligand.ApprovedSymbol	Ligand.Name	Receptor.ApprovedSymbol	Receptor.Name	HPMR.Ligand	HPMR.Receptor
HHLA3_CHRM3	HHLA3	HERV-H LTR-associating 3	CHRM3	"cholinergic receptor, muscarinic 3"		CHRM3
HLA-A_APLP2	HLA-A	"major histocompatibility complex, class I, A"	APLP2	amyloid beta (A4) precursor-like protein 2	HLA-A	
HLA-A_CD3D	HLA-A	"major histocompatibility complex, class I, A"	CD3D	"CD3d molecule, delta (CD3-TCR complex)"	HLA-A	
HLA-A_CD3G	HLA-A	"major histocompatibility complex, class I, A"	CD3G	"CD3g molecule, gamma (CD3-TCR complex)"	HLA-A	CD3G
HLA-A_ERBB2	HLA-A	"major histocompatibility complex, class I, A"	ERBB2	v-erb-b2 avian erythroblastic leukemia viral oncogene homolog 2	HLA-A	ERBB2
HLA-A_KIR2DL1	HLA-A	"major histocompatibility complex, class I, A"	KIR2DL1	"killer cell immunoglobulin-like receptor, two domains, long cytoplasmic tail, 1"	HLA-A	KIR2DL1
HLA-A_KIR2DL3	HLA-A	"major histocompatibility complex, class I, A"	KIR2DL3	"killer cell immunoglobulin-like receptor, two domains, long cytoplasmic tail, 3"	HLA-A	KIR2DL3
HLA-A_KIR3DL1	HLA-A	"major histocompatibility complex, class I, A"	KIR3DL1	"killer cell immunoglobulin-like receptor, three domains, long cytoplasmic tail, 1"	HLA-A	KIR3DL1
HLA-A_KIR3DL2	HLA-A	"major histocompatibility complex, class I, A"	KIR3DL2	"killer cell immunoglobulin-like receptor, three domains, long cytoplasmic tail, 2"	HLA-A	KIR3DL2
HLA-A_LILRB1	HLA-A	"major histocompatibility complex, class I, A"	LILRB1	"leukocyte immunoglobulin-like receptor, subfamily B (with TM and ITIM domains), member 1"	HLA-A	LILRB1
HLA-A_LILRB2	HLA-A	"major histocompatibility complex, class I, A"	LILRB2	"leukocyte immunoglobulin-like receptor, subfamily B (with TM and ITIM domains), member 2"	HLA-A	LILRB2
HLA-B_CANX	HLA-B	"major histocompatibility complex, class I, B"	CANX	calnexin		
HLA-B_CD3D	HLA-B	"major histocompatibility complex, class I, B"	CD3D	"CD3d molecule, delta (CD3-TCR complex)"	HLA-B	
HLA-B_CD3G	HLA-B	"major histocompatibility complex, class I, B"	CD3G	"CD3g molecule, gamma (CD3-TCR complex)"	HLA-B	CD3G
HLA-B_KIR2DL3	HLA-B	"major histocompatibility complex, class I, B"	KIR2DL3	"killer cell immunoglobulin-like receptor, two domains, long cytoplasmic tail, 3"	HLA-B	KIR2DL3
HLA-B_KIR3DL1	HLA-B	"major histocompatibility complex, class I, B"	KIR3DL1	"killer cell immunoglobulin-like receptor, three domains, long cytoplasmic tail, 1"	HLA-B	KIR3DL1
HLA-B_KLRD1	HLA-B	"major histocompatibility complex, class I, B"	KLRD1	"killer cell lectin-like receptor subfamily D, member 1"	HLA-B	KLRD1
HLA-B_LILRB1	HLA-B	"major histocompatibility complex, class I, B"	LILRB1	"leukocyte immunoglobulin-like receptor, subfamily B (with TM and ITIM domains), member 1"	HLA-B	LILRB1
HLA-B_LILRB2	HLA-B	"major histocompatibility complex, class I, B"	LILRB2	"leukocyte immunoglobulin-like receptor, subfamily B (with TM and ITIM domains), member 2"	HLA-B	LILRB2
HLA-C_CD3D	HLA-C	"major histocompatibility complex, class I, C"	CD3D	"CD3d molecule, delta (CD3-TCR complex)"	HLA-C	
HLA-C_CD3G	HLA-C	"major histocompatibility complex, class I, C"	CD3G	"CD3g molecule, gamma (CD3-TCR complex)"	HLA-C	CD3G
HLA-C_DDR1	HLA-C	"major histocompatibility complex, class I, C"	DDR1	discoidin domain receptor tyrosine kinase 1	HLA-C	DDR1
HLA-C_KIR2DL1	HLA-C	"major histocompatibility complex, class I, C"	KIR2DL1	"killer cell immunoglobulin-like receptor, two domains, long cytoplasmic tail, 1"	HLA-C	KIR2DL1
HLA-C_KIR2DL3	HLA-C	"major histocompatibility complex, class I, C"	KIR2DL3	"killer cell immunoglobulin-like receptor, two domains, long cytoplasmic tail, 3"	HLA-C	KIR2DL3
HLA-C_KIR2DS4	HLA-C	"major histocompatibility complex, class I, C"	KIR2DS4	"killer cell immunoglobulin-like receptor, two domains, short cytoplasmic tail, 4"	HLA-C	KIR2DS4
HLA-C_KIR3DL1	HLA-C	"major histocompatibility complex, class I, C"	KIR3DL1	"killer cell immunoglobulin-like receptor, three domains, long cytoplasmic tail, 1"	HLA-C	KIR3DL1
HLA-C_LILRA3	HLA-C	"major histocompatibility complex, class I, C"	LILRA3	"leukocyte immunoglobulin-like receptor, subfamily A (without TM domain), member 3"	HLA-C	LILRA3
HLA-C_LILRB1	HLA-C	"major histocompatibility complex, class I, C"	LILRB1	"leukocyte immunoglobulin-like receptor, subfamily B (with TM and ITIM domains), member 1"	HLA-C	LILRB1
HLA-C_LILRB2	HLA-C	"major histocompatibility complex, class I, C"	LILRB2	"leukocyte immunoglobulin-like receptor, subfamily B (with TM and ITIM domains), member 2"	HLA-C	LILRB2
HLA-C_NOTCH4	HLA-C	"major histocompatibility complex, class I, C"	NOTCH4	notch 4	HLA-C	NOTCH4
HLA-C_SLC9C2	HLA-C	"major histocompatibility complex, class I, C"	SLC9C2	"solute carrier family 9, member C2 (putative)"	HLA-C	
HLA-E_KIR3DL1	HLA-E	"major histocompatibility complex, class I, E"	KIR3DL1	"killer cell immunoglobulin-like receptor, three domains, long cytoplasmic tail, 1"	HLA-E	KIR3DL1
HLA-E_KLRC1	HLA-E	"major histocompatibility complex, class I, E"	KLRC1	"killer cell lectin-like receptor subfamily C, member 1"	HLA-E	KLRC1
HLA-E_KLRC2	HLA-E	"major histocompatibility complex, class I, E"	KLRC2	"killer cell lectin-like receptor subfamily C, member 2"	HLA-E	KLRC2
HLA-E_KLRD1	HLA-E	"major histocompatibility complex, class I, E"	KLRD1	"killer cell lectin-like receptor subfamily D, member 1"	HLA-E	KLRD1
HLA-E_SLC16A4	HLA-E	"major histocompatibility complex, class I, E"	SLC16A4	"solute carrier family 16, member 4"	HLA-E	
HLA-G_CD4	HLA-G	"major histocompatibility complex, class I, G"	CD4	CD4 molecule	HLA-G	
HLA-G_KIR2DL4	HLA-G	"major histocompatibility complex, class I, G"	KIR2DL4	"killer cell immunoglobulin-like receptor, two domains, long cytoplasmic tail, 4"	HLA-G	KIR2DL4
HLA-G_KLRC1	HLA-G	"major histocompatibility complex, class I, G"	KLRC1	"killer cell lectin-like receptor subfamily C, member 1"	HLA-G	KLRC1
HLA-G_KLRD1	HLA-G	"major histocompatibility complex, class I, G"	KLRD1	"killer cell lectin-like receptor subfamily D, member 1"	HLA-G	KLRD1
HLA-G_LILRB1	HLA-G	"major histocompatibility complex, class I, G"	LILRB1	"leukocyte immunoglobulin-like receptor, subfamily B (with TM and ITIM domains), member 1"	HLA-G	LILRB1
HLA-G_LILRB2	HLA-G	"major histocompatibility complex, class I, G"	LILRB2	"leukocyte immunoglobulin-like receptor, subfamily B (with TM and ITIM domains), member 2"	HLA-G	LILRB2
HMGB1_SDC1	HMGB1	high mobility group box 1	SDC1	syndecan 1		
HMGB1_THBD	HMGB1	high mobility group box 1	THBD	thrombomodulin		
HP_ASGR1	HP	haptoglobin	ASGR1	asialoglycoprotein receptor 1		ASGR1
HP_ASGR2	HP	haptoglobin	ASGR2	asialoglycoprotein receptor 2		ASGR2
HP_ITGAM	HP	haptoglobin	ITGAM	"integrin, alpha M (complement component 3 receptor 3 subunit)"		ITGAM
HP_ITGB2	HP	haptoglobin	ITGB2	"integrin, beta 2 (complement component 3 receptor 3 and 4 subunit)"		ITGB2
HRAS_AGTR1	HRAS	Harvey rat sarcoma viral oncogene homolog	AGTR1	"angiotensin II receptor, type 1"	HRAS	AGTR1
HRAS_CAV1	HRAS	Harvey rat sarcoma viral oncogene homolog	CAV1	"caveolin 1, caveolae protein, 22kDa"	HRAS	
HRAS_GRIN2D	HRAS	Harvey rat sarcoma viral oncogene homolog	GRIN2D	"glutamate receptor, ionotropic, N-methyl D-aspartate 2D"	HRAS	
HRAS_INSR	HRAS	Harvey rat sarcoma viral oncogene homolog	INSR	insulin receptor	HRAS	INSR
HRAS_SDC2	HRAS	Harvey rat sarcoma viral oncogene homolog	SDC2	syndecan 2	HRAS	SDC2
HRAS_TLR2	HRAS	Harvey rat sarcoma viral oncogene homolog	TLR2	toll-like receptor 2	HRAS	TLR2
HRAS_TLR9	HRAS	Harvey rat sarcoma viral oncogene homolog	TLR9	toll-like receptor 9	HRAS	TLR9
HRG_FCGR1A	HRG	histidine-rich glycoprotein	FCGR1A	"Fc fragment of IgG, high affinity Ia, receptor (CD64)"		
HSP90AA1_CFTR	HSP90AA1	"heat shock protein 90kDa alpha (cytosolic), class A member 1"	CFTR	"cystic fibrosis transmembrane conductance regulator (ATP-binding cassette sub-family C, member 7)"		
HSP90AA1_EGFR	HSP90AA1	"heat shock protein 90kDa alpha (cytosolic), class A member 1"	EGFR	epidermal growth factor receptor		
HSP90AA1_FGFR3	HSP90AA1	"heat shock protein 90kDa alpha (cytosolic), class A member 1"	FGFR3	fibroblast growth factor receptor 3		
HSP90B1_ASGR1	HSP90B1	"heat shock protein 90kDa beta (Grp94), member 1"	ASGR1	asialoglycoprotein receptor 1	HSP90B1	ASGR1
HSP90B1_ERBB2	HSP90B1	"heat shock protein 90kDa beta (Grp94), member 1"	ERBB2	v-erb-b2 avian erythroblastic leukemia viral oncogene homolog 2	HSP90B1	ERBB2
HSP90B1_LRP1	HSP90B1	"heat shock protein 90kDa beta (Grp94), member 1"	LRP1	low density lipoprotein receptor-related protein 1	HSP90B1	LRP1
HSP90B1_TLR1	HSP90B1	"heat shock protein 90kDa beta (Grp94), member 1"	TLR1	toll-like receptor 1	HSP90B1	TLR1
HSP90B1_TLR2	HSP90B1	"heat shock protein 90kDa beta (Grp94), member 1"	TLR2	toll-like receptor 2	HSP90B1	TLR2
HSP90B1_TLR4	HSP90B1	"heat shock protein 90kDa beta (Grp94), member 1"	TLR4	toll-like receptor 4	HSP90B1	TLR4
HSP90B1_TLR7	HSP90B1	"heat shock protein 90kDa beta (Grp94), member 1"	TLR7	toll-like receptor 7	HSP90B1	TLR7
HSP90B1_TLR9	HSP90B1	"heat shock protein 90kDa beta (Grp94), member 1"	TLR9	toll-like receptor 9	HSP90B1	TLR9
HSPA1A_GRIN2D	HSPA1A	heat shock 70kDa protein 1A	GRIN2D	"glutamate receptor, ionotropic, N-methyl D-aspartate 2D"	HSPA1A	
HSPA1A_TLR4	HSPA1A	heat shock 70kDa protein 1A	TLR4	toll-like receptor 4	HSPA1A	TLR4
HSPG2_CHRM3	HSPG2	heparan sulfate proteoglycan 2	CHRM3	"cholinergic receptor, muscarinic 3"	HSPG2	CHRM3
HSPG2_COL13A1	HSPG2	heparan sulfate proteoglycan 2	COL13A1	"collagen, type XIII, alpha 1"	HSPG2	
HSPG2_ITGA2	HSPG2	heparan sulfate proteoglycan 2	ITGA2	"integrin, alpha 2 (CD49B, alpha 2 subunit of VLA-2 receptor)"	HSPG2	ITGA2
HSPG2_ITGB1	HSPG2	heparan sulfate proteoglycan 2	ITGB1	"integrin, beta 1 (fibronectin receptor, beta polypeptide, antigen CD29 includes MDF2, MSK12)"	HSPG2	ITGB1
HSPG2_PTPRS	HSPG2	heparan sulfate proteoglycan 2	PTPRS	"protein tyrosine phosphatase, receptor type, S"	HSPG2	PTPRS
HSPG2_SDC1	HSPG2	heparan sulfate proteoglycan 2	SDC1	syndecan 1	HSPG2	SDC1
IAPP_CALCR	IAPP	islet amyloid polypeptide	CALCR	calcitonin receptor	IAPP	CALCR
IAPP_RAMP1	IAPP	islet amyloid polypeptide	RAMP1	receptor (G protein-coupled) activity modifying protein 1	IAPP	RAMP1
IAPP_RAMP2	IAPP	islet amyloid polypeptide	RAMP2	receptor (G protein-coupled) activity modifying protein 2	IAPP	RAMP2
IAPP_RAMP3	IAPP	islet amyloid polypeptide	RAMP3	receptor (G protein-coupled) activity modifying protein 3	IAPP	RAMP3
IBSP_ITGAV	IBSP	integrin-binding sialoprotein	ITGAV	"integrin, alpha V"		ITGAV
ICAM1_CAV1	ICAM1	intercellular adhesion molecule 1	CAV1	"caveolin 1, caveolae protein, 22kDa"	ICAM1	
ICAM1_EGFR	ICAM1	intercellular adhesion molecule 1	EGFR	epidermal growth factor receptor	ICAM1	EGFR
ICAM1_IL2RA	ICAM1	intercellular adhesion molecule 1	IL2RA	"interleukin 2 receptor, alpha"	ICAM1	IL2RA
ICAM1_IL2RG	ICAM1	intercellular adhesion molecule 1	IL2RG	"interleukin 2 receptor, gamma"	ICAM1	IL2RG
ICAM1_ITGAL	ICAM1	intercellular adhesion molecule 1	ITGAL	"integrin, alpha L (antigen CD11A (p180), lymphocyte function-associated antigen 1; alpha polypeptide)"	ICAM1	ITGAL
ICAM1_ITGAM	ICAM1	intercellular adhesion molecule 1	ITGAM	"integrin, alpha M (complement component 3 receptor 3 subunit)"	ICAM1	ITGAM
ICAM1_ITGAX	ICAM1	intercellular adhesion molecule 1	ITGAX	"integrin, alpha X (complement component 3 receptor 4 subunit)"	ICAM1	ITGAX
ICAM1_ITGB2	ICAM1	intercellular adhesion molecule 1	ITGB2	"integrin, beta 2 (complement component 3 receptor 3 and 4 subunit)"	ICAM1	ITGB2
ICAM2_ITGAL	ICAM2	intercellular adhesion molecule 2	ITGAL	"integrin, alpha L (antigen CD11A (p180), lymphocyte function-associated antigen 1; alpha polypeptide)"	ICAM2	ITGAL
ICAM2_ITGAM	ICAM2	intercellular adhesion molecule 2	ITGAM	"integrin, alpha M (complement component 3 receptor 3 subunit)"	ICAM2	ITGAM
ICAM2_ITGB2	ICAM2	intercellular adhesion molecule 2	ITGB2	"integrin, beta 2 (complement component 3 receptor 3 and 4 subunit)"	ICAM2	ITGB2
ICAM3_CLEC4M	ICAM3	intercellular adhesion molecule 3	CLEC4M	"C-type lectin domain family 4, member M"	ICAM3	CLEC4M
ICAM3_ITGAD	ICAM3	intercellular adhesion molecule 3	ITGAD	"integrin, alpha D"	ICAM3	ITGAD
ICAM3_ITGAL	ICAM3	intercellular adhesion molecule 3	ITGAL	"integrin, alpha L (antigen CD11A (p180), lymphocyte function-associated antigen 1; alpha polypeptide)"	ICAM3	ITGAL
ICAM3_ITGB2	ICAM3	intercellular adhesion molecule 3	ITGB2	"integrin, beta 2 (complement component 3 receptor 3 and 4 subunit)"	ICAM3	ITGB2
ICAM4_ITGA2B	ICAM4	intercellular adhesion molecule 4 (Landsteiner-Wiener blood group)	ITGA2B	"integrin, alpha 2b (platelet glycoprotein IIb of IIb/IIIa complex, antigen CD41)"	ICAM4	ITGA2B
ICAM4_ITGA4	ICAM4	intercellular adhesion molecule 4 (Landsteiner-Wiener blood group)	ITGA4	"integrin, alpha 4 (antigen CD49D, alpha 4 subunit of VLA-4 receptor)"	ICAM4	ITGA4
ICAM4_ITGAL	ICAM4	intercellular adhesion molecule 4 (Landsteiner-Wiener blood group)	ITGAL	"integrin, alpha L (antigen CD11A (p180), lymphocyte function-associated antigen 1; alpha polypeptide)"	ICAM4	ITGAL
ICAM4_ITGAM	ICAM4	intercellular adhesion molecule 4 (Landsteiner-Wiener blood group)	ITGAM	"integrin, alpha M (complement component 3 receptor 3 subunit)"	ICAM4	ITGAM
ICAM4_ITGAV	ICAM4	intercellular adhesion molecule 4 (Landsteiner-Wiener blood group)	ITGAV	"integrin, alpha V"	ICAM4	ITGAV
ICAM4_ITGB1	ICAM4	intercellular adhesion molecule 4 (Landsteiner-Wiener blood group)	ITGB1	"integrin, beta 1 (fibronectin receptor, beta polypeptide, antigen CD29 includes MDF2, MSK12)"	ICAM4	ITGB1
ICAM4_ITGB2	ICAM4	intercellular adhesion molecule 4 (Landsteiner-Wiener blood group)	ITGB2	"integrin, beta 2 (complement component 3 receptor 3 and 4 subunit)"	ICAM4	ITGB2
ICAM4_ITGB3	ICAM4	intercellular adhesion molecule 4 (Landsteiner-Wiener blood group)	ITGB3	"integrin, beta 3 (platelet glycoprotein IIIa, antigen CD61)"	ICAM4	ITGB3
ICAM4_RHAG	ICAM4	intercellular adhesion molecule 4 (Landsteiner-Wiener blood group)	RHAG	Rh-associated glycoprotein	ICAM4	
ICAM5_ITGAL	ICAM5	"intercellular adhesion molecule 5, telencephalin"	ITGAL	"integrin, alpha L (antigen CD11A (p180), lymphocyte function-associated antigen 1; alpha polypeptide)"	ICAM5	ITGAL
ICAM5_ITGB2	ICAM5	"intercellular adhesion molecule 5, telencephalin"	ITGB2	"integrin, beta 2 (complement component 3 receptor 3 and 4 subunit)"	ICAM5	ITGB2
IFNA10_IFNAR1	IFNA10	"interferon, alpha 10"	IFNAR1	"interferon (alpha, beta and omega) receptor 1"		IFNAR1
IFNA10_IFNAR2	IFNA10	"interferon, alpha 10"	IFNAR2	"interferon (alpha, beta and omega) receptor 2"		IFNAR2
IFNA13_IFNAR1	IFNA13	"interferon, alpha 13"	IFNAR1	"interferon (alpha, beta and omega) receptor 1"		IFNAR1
IFNA13_IFNAR2	IFNA13	"interferon, alpha 13"	IFNAR2	"interferon (alpha, beta and omega) receptor 2"		IFNAR2
IFNA14_IFNAR1	IFNA14	"interferon, alpha 14"	IFNAR1	"interferon (alpha, beta and omega) receptor 1"		IFNAR1
IFNA14_IFNAR2	IFNA14	"interferon, alpha 14"	IFNAR2	"interferon (alpha, beta and omega) receptor 2"		IFNAR2
IFNA16_IFNAR1	IFNA16	"interferon, alpha 16"	IFNAR1	"interferon (alpha, beta and omega) receptor 1"		IFNAR1
IFNA16_IFNAR2	IFNA16	"interferon, alpha 16"	IFNAR2	"interferon (alpha, beta and omega) receptor 2"		IFNAR2
IFNA17_IFNAR1	IFNA17	"interferon, alpha 17"	IFNAR1	"interferon (alpha, beta and omega) receptor 1"		IFNAR1
IFNA17_IFNAR2	IFNA17	"interferon, alpha 17"	IFNAR2	"interferon (alpha, beta and omega) receptor 2"		IFNAR2
IFNA1_IFNAR1	IFNA1	"interferon, alpha 1"	IFNAR1	"interferon (alpha, beta and omega) receptor 1"	IFNA1	IFNAR1
IFNA1_IFNAR2	IFNA1	"interferon, alpha 1"	IFNAR2	"interferon (alpha, beta and omega) receptor 2"	IFNA1	IFNAR2
IFNA21_IFNAR1	IFNA21	"interferon, alpha 21"	IFNAR1	"interferon (alpha, beta and omega) receptor 1"		IFNAR1
IFNA21_IFNAR2	IFNA21	"interferon, alpha 21"	IFNAR2	"interferon (alpha, beta and omega) receptor 2"		IFNAR2
IFNA2_IFNAR1	IFNA2	"interferon, alpha 2"	IFNAR1	"interferon (alpha, beta and omega) receptor 1"		IFNAR1
IFNA2_IFNAR2	IFNA2	"interferon, alpha 2"	IFNAR2	"interferon (alpha, beta and omega) receptor 2"		IFNAR2
IFNA4_IFNAR1	IFNA4	"interferon, alpha 4"	IFNAR1	"interferon (alpha, beta and omega) receptor 1"		IFNAR1
IFNA4_IFNAR2	IFNA4	"interferon, alpha 4"	IFNAR2	"interferon (alpha, beta and omega) receptor 2"		IFNAR2
IFNA5_IFNAR1	IFNA5	"interferon, alpha 5"	IFNAR1	"interferon (alpha, beta and omega) receptor 1"		IFNAR1
IFNA5_IFNAR2	IFNA5	"interferon, alpha 5"	IFNAR2	"interferon (alpha, beta and omega) receptor 2"		IFNAR2
IFNA6_IFNAR1	IFNA6	"interferon, alpha 6"	IFNAR1	"interferon (alpha, beta and omega) receptor 1"		IFNAR1
IFNA6_IFNAR2	IFNA6	"interferon, alpha 6"	IFNAR2	"interferon (alpha, beta and omega) receptor 2"		IFNAR2
IFNA7_IFNAR1	IFNA7	"interferon, alpha 7"	IFNAR1	"interferon (alpha, beta and omega) receptor 1"		IFNAR1
IFNA7_IFNAR2	IFNA7	"interferon, alpha 7"	IFNAR2	"interferon (alpha, beta and omega) receptor 2"		IFNAR2
IFNA8_IFNAR1	IFNA8	"interferon, alpha 8"	IFNAR1	"interferon (alpha, beta and omega) receptor 1"		IFNAR1
IFNA8_IFNAR2	IFNA8	"interferon, alpha 8"	IFNAR2	"interferon (alpha, beta and omega) receptor 2"		IFNAR2
IFNB1_IFNAR1	IFNB1	"interferon, beta 1, fibroblast"	IFNAR1	"interferon (alpha, beta and omega) receptor 1"	IFNB1	IFNAR1
IFNB1_IFNAR2	IFNB1	"interferon, beta 1, fibroblast"	IFNAR2	"interferon (alpha, beta and omega) receptor 2"	IFNB1	IFNAR2
IFNG_IFNGR1	IFNG	"interferon, gamma"	IFNGR1	interferon gamma receptor 1	IFNG	IFNGR1
IFNG_IFNGR2	IFNG	"interferon, gamma"	IFNGR2	interferon gamma receptor 2 (interferon gamma transducer 1)	IFNG	IFNGR2
IFNL1_IFNLR1	IFNL1	"interferon, lambda 1"	IFNLR1	"interferon, lambda receptor 1"	IL29	IL28RA
IFNL1_IL10RB	IFNL1	"interferon, lambda 1"	IL10RB	"interleukin 10 receptor, beta"	IL29	IL10RB
IFNL2_IFNLR1	IFNL2	"interferon, lambda 2"	IFNLR1	"interferon, lambda receptor 1"	IL28A	IL28RA
IFNL2_IL10RB	IFNL2	"interferon, lambda 2"	IL10RB	"interleukin 10 receptor, beta"	IL28A	IL10RB
IFNL3_IFNLR1	IFNL3	"interferon, lambda 3"	IFNLR1	"interferon, lambda receptor 1"	IL28B	IL28RA
IFNL3_IL10RB	IFNL3	"interferon, lambda 3"	IL10RB	"interleukin 10 receptor, beta"	IL28B	IL10RB
IFNW1_IFNAR1	IFNW1	"interferon, omega 1"	IFNAR1	"interferon (alpha, beta and omega) receptor 1"	IFNW1	IFNAR1
IFNW1_IFNAR2	IFNW1	"interferon, omega 1"	IFNAR2	"interferon (alpha, beta and omega) receptor 2"	IFNW1	IFNAR2
IGF1_IGF1R	IGF1	insulin-like growth factor 1 (somatomedin C)	IGF1R	insulin-like growth factor 1 receptor	IGF1	IGF1R
IGF1_INSR	IGF1	insulin-like growth factor 1 (somatomedin C)	INSR	insulin receptor	IGF1	INSR
IGF2_IGF1R	IGF2	insulin-like growth factor 2 (somatomedin A)	IGF1R	insulin-like growth factor 1 receptor	IGF2	IGF1R
IGF2_IGF2R	IGF2	insulin-like growth factor 2 (somatomedin A)	IGF2R	insulin-like growth factor 2 receptor	IGF2	IGF2R
IGF2_INSR	IGF2	insulin-like growth factor 2 (somatomedin A)	INSR	insulin receptor	IGF2	INSR
IGFBP4_FZD8	IGFBP4	insulin-like growth factor binding protein 4	FZD8	frizzled class receptor 8		FZD8
IGFBP4_LRP6	IGFBP4	insulin-like growth factor binding protein 4	LRP6	low density lipoprotein receptor-related protein 6		LRP6
IGFL1_IGFLR1	IGFL1	IGF-like family member 1	IGFLR1	IGF-like family receptor 1		
IGFL2_IGFLR1	IGFL2	IGF-like family member 2	IGFLR1	IGF-like family receptor 1		
IGFL3_IGFLR1	IGFL3	IGF-like family member 3	IGFLR1	IGF-like family receptor 1		
IHH_BOC	IHH	indian hedgehog	BOC	"BOC cell adhesion associated, oncogene regulated"	IHH	BOC
IHH_CDON	IHH	indian hedgehog	CDON	"cell adhesion associated, oncogene regulated"	IHH	CDON
IHH_HHIP	IHH	indian hedgehog	HHIP	hedgehog interacting protein	IHH	HHIP
IHH_PTCH1	IHH	indian hedgehog	PTCH1	patched 1	IHH	PTCH
IHH_PTCH2	IHH	indian hedgehog	PTCH2	patched 2	IHH	PTCH2
IL10_IL10RA	IL10	interleukin 10	IL10RA	"interleukin 10 receptor, alpha"	IL10	IL10RA
IL10_IL10RB	IL10	interleukin 10	IL10RB	"interleukin 10 receptor, beta"	IL10	IL10RB
IL10_SIRPG	IL10	interleukin 10	SIRPG	signal-regulatory protein gamma	IL10	
IL11_IL11RA	IL11	interleukin 11	IL11RA	"interleukin 11 receptor, alpha"	IL11	IL11RA
IL11_IL6ST	IL11	interleukin 11	IL6ST	"interleukin 6 signal transducer (gp130, oncostatin M receptor)"	IL11	IL6ST
IL12A_CD28	IL12A	"interleukin 12A (natural killer cell stimulatory factor 1, cytotoxic lymphocyte maturation factor 1, p35)"	CD28	CD28 molecule	IL12A	
IL12A_IL12RB1	IL12A	"interleukin 12A (natural killer cell stimulatory factor 1, cytotoxic lymphocyte maturation factor 1, p35)"	IL12RB1	"interleukin 12 receptor, beta 1"	IL12A	IL12RB1
IL12A_IL12RB2	IL12A	"interleukin 12A (natural killer cell stimulatory factor 1, cytotoxic lymphocyte maturation factor 1, p35)"	IL12RB2	"interleukin 12 receptor, beta 2"	IL12A	IL12RB2
IL12B_IL12RB1	IL12B	"interleukin 12B (natural killer cell stimulatory factor 2, cytotoxic lymphocyte maturation factor 2, p40)"	IL12RB1	"interleukin 12 receptor, beta 1"	IL12B	IL12RB1
IL12B_IL12RB2	IL12B	"interleukin 12B (natural killer cell stimulatory factor 2, cytotoxic lymphocyte maturation factor 2, p40)"	IL12RB2	"interleukin 12 receptor, beta 2"	IL12B	IL12RB2
IL12B_IL23R	IL12B	"interleukin 12B (natural killer cell stimulatory factor 2, cytotoxic lymphocyte maturation factor 2, p40)"	IL23R	interleukin 23 receptor	IL12B	IL23R
IL13_IL13RA1	IL13	interleukin 13	IL13RA1	"interleukin 13 receptor, alpha 1"	IL13	IL13RA1
IL13_IL13RA2	IL13	interleukin 13	IL13RA2	"interleukin 13 receptor, alpha 2"	IL13	IL13RA2
IL13_IL2RG	IL13	interleukin 13	IL2RG	"interleukin 2 receptor, gamma"	IL13	IL2RG
IL13_IL4R	IL13	interleukin 13	IL4R	interleukin 4 receptor	IL13	IL4R
IL15_IL15RA	IL15	interleukin 15	IL15RA	"interleukin 15 receptor, alpha"	IL15	IL15RA
IL15_IL2RA	IL15	interleukin 15	IL2RA	"interleukin 2 receptor, alpha"	IL15	IL2RA
IL15_IL2RB	IL15	interleukin 15	IL2RB	"interleukin 2 receptor, beta"	IL15	IL2RB
IL15_IL2RG	IL15	interleukin 15	IL2RG	"interleukin 2 receptor, gamma"	IL15	IL2RG
IL16_CCR5	IL16	interleukin 16	CCR5	chemokine (C-C motif) receptor 5 (gene/pseudogene)		CCR5
IL16_CD4	IL16	interleukin 16	CD4	CD4 molecule		
IL16_GRIN2C	IL16	interleukin 16	GRIN2C	"glutamate receptor, ionotropic, N-methyl D-aspartate 2C"		
IL16_GRIN2D	IL16	interleukin 16	GRIN2D	"glutamate receptor, ionotropic, N-methyl D-aspartate 2D"		
IL16_KCNA3	IL16	interleukin 16	KCNA3	"potassium voltage-gated channel, shaker-related subfamily, member 3"		
IL16_KCND1	IL16	interleukin 16	KCND1	"potassium voltage-gated channel, Shal-related subfamily, member 1"		
IL16_KCND2	IL16	interleukin 16	KCND2	"potassium voltage-gated channel, Shal-related subfamily, member 2"		
IL16_KCNJ10	IL16	interleukin 16	KCNJ10	"potassium inwardly-rectifying channel, subfamily J, member 10"		
IL16_KCNJ15	IL16	interleukin 16	KCNJ15	"potassium inwardly-rectifying channel, subfamily J, member 15"		
IL16_KCNJ4	IL16	interleukin 16	KCNJ4	"potassium inwardly-rectifying channel, subfamily J, member 4"		
IL17A_IL17RA	IL17A	interleukin 17A	IL17RA	interleukin 17 receptor A	IL17A	IL17RA
IL17A_IL17RC	IL17A	interleukin 17A	IL17RC	interleukin 17 receptor C	IL17A	IL17RC
IL17B_IL17RB	IL17B	interleukin 17B	IL17RB	interleukin 17 receptor B	IL17B	IL17RB
IL17F_IL17RA	IL17F	interleukin 17F	IL17RA	interleukin 17 receptor A		IL17RA
IL18_CD48	IL18	interleukin 18 (interferon-gamma-inducing factor)	CD48	CD48 molecule	IL18	
IL18_IL18R1	IL18	interleukin 18 (interferon-gamma-inducing factor)	IL18R1	interleukin 18 receptor 1	IL18	IL18R1
IL18_IL18RAP	IL18	interleukin 18 (interferon-gamma-inducing factor)	IL18RAP	interleukin 18 receptor accessory protein	IL18	IL18RAP
